bonus_scale,scenario,seed,final_poa,welfare_dc,welfare_mfg,shapley_fairness,n_rounds,converged,convergence_rate,model_path_in_volume
1.5,S1,5,0.6195386052131653,-7062.740099430084,350194.1965967417,0.010186757215619692,2,True,1.0,D_BONUS1.5/S1_seed5.zip
1.5,S1,6,0.6448620557785034,-7351.427435874939,364508.27702879906,0.010186757215619692,2,True,1.0,D_BONUS1.5/S1_seed6.zip
1.5,S1,7,0.6046547293663025,-6893.063914775848,341781.0857743025,0.010186757215619692,2,True,1.0,D_BONUS1.5/S1_seed7.zip
1.5,S1,8,0.6378767490386963,-7271.794939041138,360559.8323941231,0.010186757215619692,2,True,1.0,D_BONUS1.5/S1_seed8.zip
1.5,S1,9,0.6156938076019287,-7018.909406661987,348020.9247469902,0.010186757215619692,2,True,1.0,D_BONUS1.5/S1_seed9.zip
1.5,S2,0,0.6340780854225159,-7710.389518737793,358412.6377850771,0.010873258579680595,2,True,1.0,D_BONUS1.5/S2_seed0.zip
1.5,S2,1,0.562079668045044,-6834.888763427734,317715.5323624611,0.010873258579680595,2,True,1.0,D_BONUS1.5/S2_seed1.zip
1.5,S2,2,0.6453973054885864,-7848.031234741211,364810.8269274235,0.010873258579680595,2,True,1.0,D_BONUS1.5/S2_seed2.zip
1.5,S2,3,0.5635323524475098,-6852.553405761719,318536.6622209549,0.010873258579680595,2,True,1.0,D_BONUS1.5/S2_seed3.zip
1.5,S2,4,0.5945908427238464,-7230.224647521973,336092.4738496542,0.010873258579680595,2,True,1.0,D_BONUS1.5/S2_seed4.zip
1.5,S2,5,0.6226592063903809,-7571.535949707031,351958.1164121628,0.010873258579680595,2,True,1.0,D_BONUS1.5/S2_seed5.zip
1.5,S2,6,0.6435068845748901,-7825.043716430664,363742.26650595665,0.010873258579680595,2,True,1.0,D_BONUS1.5/S2_seed6.zip
1.5,S2,7,0.6046838164329529,-7352.955207824707,341797.5272387266,0.010873258579680595,2,True,1.0,D_BONUS1.5/S2_seed7.zip
1.5,S2,8,0.6537246108055115,-7949.2912673950195,369517.83625781536,0.010873258579680595,2,True,1.0,D_BONUS1.5/S2_seed8.zip
1.5,S2,9,0.6245058178901672,-7593.990745544434,353001.91356241703,0.010873258579680595,2,True,1.0,D_BONUS1.5/S2_seed9.zip
1.5,S3,0,0.6355261802673341,-9659.997940063477,259008.69476795197,0.01900237529691211,2,True,1.0,D_BONUS1.5/S3_seed0.zip
