config,seed,scenario,convergence_rate,timeout_rate,mean_rounds,welfare_dc,welfare_mfg,shapley_fairness,price_of_anarchy
D,6,S2,1.0,0.0,8.0,-6907.026634216309,321068.8161998987,0.010873258579680595,0.5680120587745793
D,6,S3,1.0,0.0,2.0,-8679.926300048828,232730.5239200592,0.01900237529691211,0.5710477829378464
D,6,S4,1.0,0.0,16.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,6,S5,1.0,0.0,16.0,2003491.100750732,1561400.4605484009,0.7793398533007335,0.9863303900454117
D,6,S6,1.0,0.0,20.0,1558697.7270126343,708000.0238895416,0.45422535211267606,0.9800664783208836
D,6,S7,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,6,S8,1.0,0.0,2.0,9667257.27690691,12145324.153623639,0.7959653570895113,0.7646079063949724
D,6,S9,1.0,0.0,9.0,1181558.613204956,536693.8771247861,0.4542253521126759,0.7429317236465706
D,6,S_AIR_M,0.6,0.4,17.633333333333333,1576728.8323627731,1356387.4172641868,0.6900909269963249,0.8115314715179742
D,7,S1,1.0,0.0,3.0,-6010.162031650543,298003.86740267277,0.010186757215619692,0.5272071957956541
D,7,S2,1.0,0.0,2.0,-6854.822006225586,318642.1166956425,0.010873258579680595,0.5637189150250422
D,7,S3,1.0,0.0,2.0,-8727.797937393188,234014.08219635487,0.01900237529691211,0.5741972327633533
D,7,S4,1.0,0.0,16.0,741302.6596069336,576317.6164627075,0.7774390243902439,0.9416954518022426
D,7,S5,1.0,0.0,17.0,1875737.6965576177,1461837.1412658691,0.7793398533007334,0.9234366417576316
D,7,S6,1.0,0.0,18.0,1514516.2311553955,687931.6683769226,0.45422535211267606,0.952286362714542
D,7,S7,1.0,0.0,19.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,7,S8,1.0,0.0,2.0,8745171.244319139,10121541.6891616,0.8640157312876249,0.6613448262676712
D,7,S9,1.0,0.0,15.0,1431625.2939224243,650280.5032253265,0.45422535211267606,0.9001668096217589
D,7,S_AIR_M,0.3,0.7,17.133333333333333,1338710.582011397,1302574.5583765348,0.6832976928968009,0.7307879518754808
D,8,S1,1.0,0.0,2.0,-5271.877992153168,261397.28377759457,0.010186757215619692,0.46244543794048243
D,8,S2,1.0,0.0,2.0,-6098.175621032715,283469.8823839426,0.010873258579680595,0.5014947057120706
D,8,S3,1.0,0.0,2.0,-7646.619558334351,205024.98690783975,0.01900237529691211,0.5030670762413548
D,8,S4,1.0,0.0,16.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,8,S5,1.0,0.0,9.0,1659061.8297149662,1292973.002986908,0.7793398533007334,0.8167658448789936
D,8,S6,1.0,0.0,13.0,1314674.6212005615,597158.5427284241,0.45422535211267606,0.8266314268689711
D,8,S7,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,8,S8,1.0,0.0,2.0,8927546.494355496,11883645.020208064,0.7512464802822916,0.7295056582006865
D,8,S9,1.0,0.0,10.0,1224427.6691436768,556166.0891532898,0.45422535211267606,0.7698866129459392
D,8,S_AIR_M,0.43333333333333335,0.5666666666666667,18.1,1385303.7529817286,1222654.8396073014,0.6769707469589612,0.7215671982216506
D,9,S1,1.0,0.0,2.0,-5844.289648532867,289779.3617397547,0.010186757215619692,0.5126569867492273
D,9,S2,1.0,0.0,2.0,-6415.9318923950195,298240.58406054974,0.010873258579680595,0.5276259780298753
D,9,S3,1.0,0.0,2.0,-8346.769094467163,223797.7463454008,0.01900237529691211,0.549129545726995
D,9,S4,1.0,0.0,15.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,9,S5,1.0,0.0,14.0,1690500.696627808,1317474.5649147034,0.7793398533007334,0.8322433829889007
D,9,S6,1.0,0.0,14.0,1370089.0670776367,622329.1889190674,0.45422535211267606,0.8614745140677555
D,9,S7,1.0,0.0,17.0,787200.0,612000.0,0.7774390243902439,1.000000000069866
D,9,S8,1.0,0.0,2.0,7379363.497318601,12001623.70377602,0.6148637617255791,0.6793719530580234
D,9,S9,1.0,0.0,14.0,1261035.6899261475,572794.3802833557,0.45422535211267606,0.7929047346669078
D,9,S_AIR_M,0.36666666666666664,0.6333333333333333,18.633333333333333,1406968.6734238984,1236010.2758247962,0.6756616931563965,0.7312565931021694
